source,id_str,text,created_at,retweet_count,in_reply_to_user_id_str,favorite_count,is_retweet
Twitter for iPhone,724722427297673217,Passing what was once a vibrant manufacturing area in Pennsylvania. So sad! #MakeAmericaGreatAgain https://t.co/RYWjgPh9Ja,Mon Apr 25 22:11:06 +0000 2016,7763,,20063,False
Twitter for iPhone,724721256969441280,"Thank you West Chester, Pennsylvania!
#PAPrimary #VoteTrump
https://t.co/Qva1QtmhpS https://t.co/CF9SYBqka7",Mon Apr 25 22:06:26 +0000 2016,3184,,9332,False
Twitter for iPhone,724718355102478336,"Thank you Warwick, Rhode Island!
#RIPrimary #VoteTrump 
https://t.co/V0d4CuS1xf https://t.co/GU3p28VMe0",Mon Apr 25 21:54:55 +0000 2016,2753,,8397,False
Twitter for iPhone,724662038220423168,RT @DRUDGE_REPORT: DEAD HEAT: CLINTON VS TRUMP https://t.co/wqfQMEMQOj,Mon Apr 25 18:11:08 +0000 2016,2497,,0,True
Twitter Web Client,724633177692725254,On the way to the great state of Rhode Island- big rally. Then to Pennsylvania for rest of day and night!,Mon Apr 25 16:16:27 +0000 2016,3482,,11927,False
Twitter Web Client,724633058398375936,Kasich just announced that he wants the people of Indiana to vote for him. Typical politician - can't make a deal work.,Mon Apr 25 16:15:58 +0000 2016,4927,,14152,False
Twitter for Android,724568416338759680,Shows how weak and desperate Lyin' Ted is when he has to team up with a guy who openly can't stand him and is only 1 win and 38 losses.,Mon Apr 25 11:59:06 +0000 2016,6957,,18670,False
Twitter for Android,724567219062059008,Lyin' Ted Cruz and 1 for 38 Kasich are unable to beat me on their own so they have to team up (collusion) in a two on one. Shows weakness!,Mon Apr 25 11:54:21 +0000 2016,7832,,21130,False
Twitter for Android,724445148910915584,Lyin' Ted and Kasich are mathematically dead and totally desperate. Their donors &amp; special interest groups are not happy with them. Sad!,Mon Apr 25 03:49:17 +0000 2016,7958,,22718,False
Twitter for Android,724442801933565952,"Wow, just announced that Lyin' Ted and Kasich are going to collude in order to keep me from getting the Republican nomination. DESPERATION!",Mon Apr 25 03:39:58 +0000 2016,11819,,29008,False
Twitter for Android,724409389570994176,I am happy to hear how badly the @nytimes is doing. It is a seriously failing paper with readership which is way down. Becoming irrelevant!,Mon Apr 25 01:27:12 +0000 2016,4568,,14715,False
Twitter for Android,724237889886904320,"""@DiamondandSilk: .@DonaldJTrumpJr awesome job on @CNNSotu. DonaldTrump has integrity &amp; he refuses 2 play the game call ""Delegate Bribery""",Sun Apr 24 14:05:43 +0000 2016,3676,,10694,False
Twitter for Android,724237406837334016,"""@newtgingrich: #NYPrimary turned Trump from frontrunner into presumptive #GOP nominee https://t.co/oLC7mGgnZ9 https://t.co/iNolBfFFRF""",Sun Apr 24 14:03:48 +0000 2016,4556,,11239,False
Twitter for Android,724236857777762304,I will be in Maryland this afternoon for a major rally. Things are looking good for Tuesday!,Sun Apr 24 14:01:37 +0000 2016,3558,,12164,False
Twitter for Android,724236172181049344,.@AndreBauer  Great job and advice on @CNN  @jaketapper  Thank you!,Sun Apr 24 13:58:53 +0000 2016,1643,,6402,False
Twitter for Android,724055614498955265,.@Borisep was great on @JudgeJeanine tonight. Very smart commentary that will prove to be correct!,Sun Apr 24 02:01:25 +0000 2016,2504,,8719,False
Twitter for Android,724052308661772288,"As soon as John Kasich is hit with negative ads, he will drop like a rock in the polls against Crooked Hillary Clinton. I will win!",Sun Apr 24 01:48:17 +0000 2016,4646,,16000,False
Twitter for Android,724050713953861632,I had a great day campaigning in Connecticut. Looking for a big vote on Tuesday!,Sun Apr 24 01:41:57 +0000 2016,3008,,11318,False
Twitter for Android,724039081420808192,Congratulations to @seanhannity on his great ratings and ratings increase as reported by the @AP today. Amazing job!,Sun Apr 24 00:55:43 +0000 2016,4110,,14144,False
Twitter for iPhone,723972167893966848,Lynne Ryan -- just read your great story in the NY Times -- I am proud of you. Thanks! https://t.co/zVmhYsd4ir,Sat Apr 23 20:29:50 +0000 2016,4360,,15071,False
Twitter for iPhone,723957355495473152,"Thank you Delaware! #Trump2016 
#MakeAmericaGreatAgain #TrumpTrain
https://t.co/qLXTzQPbEj https://t.co/ofhbM9bcOI",Sat Apr 23 19:30:58 +0000 2016,3311,,9189,False
Twitter for iPhone,723956432991850498,"Thank you Bridgeport, Connecticut!
#MakeAmericaGreatAgain #Trump2016
https://t.co/GCtTKnNq06 https://t.co/qcuDCyBzCN",Sat Apr 23 19:27:18 +0000 2016,2443,,7943,False
Twitter Web Client,723950747109363712,"The Establishment and special interests are absolutely killing our country. Stop them now: https://t.co/cLUCrZ2hde
https://t.co/zUmuW5WPrk",Sat Apr 23 19:04:43 +0000 2016,3078,,3822,False
Twitter for iPhone,723906843865698306,"Thank you Waterbury, Connecticut!
#MakeAmericaGreatAgain #Trump2016
https://t.co/5eZ5nVQbE9 https://t.co/OoQAAKWUUq",Sat Apr 23 16:10:15 +0000 2016,2743,,9042,False
Twitter for iPhone,723885342743494659,"#MakeAmericaGreatAgain
Video: https://t.co/Dsa2v9X3ol https://t.co/aGUHmO98Xm",Sat Apr 23 14:44:49 +0000 2016,3280,,8849,False
Twitter for iPhone,723873688001589249,Pennsylvania: Cast your vote for Trump for POTUS &amp; ALSO vote for the TRUMP DELEGATES in your congressional district! https://t.co/1utaLLMfUa,Sat Apr 23 13:58:30 +0000 2016,7720,,16064,False
Twitter for Android,723853244238278656,"Will be spending the day campaigning in Connecticut, another state where jobs are being stolen by other countries. I will stop this fast!",Sat Apr 23 12:37:16 +0000 2016,4294,,13267,False
Twitter for iPhone,723682291843780608,"Thank you Pennsylvania! #Trump2016
https://t.co/Y3UBsxBQmg https://t.co/ie23QdsVTe",Sat Apr 23 01:17:58 +0000 2016,3902,,11133,False
Twitter for iPhone,831945670324060164,"Welcome to the United States, @IsraeliPM Benjamin &amp; Sara!
#ICYMI🇺🇸🇮🇱Joint Press Conference: 
https://t.co/GN6ALWUusN https://t.co/bH60nBL5FP",Wed Feb 15 19:17:59 +0000 2017,14224,,74512,False
Twitter for iPhone,831904516316479489,Great listening session with CEO's of the Retail Industry Leaders Association this morning! https://t.co/sy6xJcWfcF,Wed Feb 15 16:34:27 +0000 2017,10692,,66081,False
Twitter for Android,831853862281699331,"The real scandal here is that classified information is illegally given out by ""intelligence"" like candy. Very un-American!",Wed Feb 15 13:13:10 +0000 2017,31903,,128448,False
Twitter for Android,831846101179314177,Crimea was TAKEN by Russia during the Obama Administration. Was Obama too soft on Russia?,Wed Feb 15 12:42:20 +0000 2017,25351,,100698,False
Twitter for Android,831842652085686273,"Thank you to Eli Lake of The Bloomberg View - ""The NSA &amp; FBI...should not interfere in our politics...and is"" Very serious situation for USA",Wed Feb 15 12:28:37 +0000 2017,16346,,77692,False
Twitter for Android,831840306161123328,Information is being illegally given to the failing @nytimes &amp; @washingtonpost by the intelligence community (NSA and FBI?).Just like Russia,Wed Feb 15 12:19:18 +0000 2017,21143,,80376,False
Twitter for Android,831837514226921472,This Russian connection non-sense is merely an attempt to cover-up the many mistakes made in Hillary Clinton's losing campaign.,Wed Feb 15 12:08:12 +0000 2017,27541,,117900,False
Twitter for Android,831830548565852160,The fake news media is going crazy with their conspiracy theories and blind hatred. @MSNBC &amp; @CNN are unwatchable. @foxandfriends is great!,Wed Feb 15 11:40:32 +0000 2017,25838,,104434,False
Twitter for iPhone,831636777110757377,"Obamacare continues to fail. Humana to pull out in 2018. Will repeal, replace &amp; save healthcare for ALL Americans. 
https://t.co/glWEQ0lNR4",Tue Feb 14 22:50:33 +0000 2017,17872,,87852,False
Twitter for iPhone,831621079747723264,"'Remarks by President Trump at Signing of H.J. Resolution 41'
https://t.co/Q3MoCGAc54 https://t.co/yGDDTKm9Br",Tue Feb 14 21:48:10 +0000 2017,8503,,46093,False
Twitter for iPhone,831599387906301952,Great parent-teacher listening session this morning with @VP Pence &amp; @usedgov Secretary @BetsyDeVos. Watch:… https://t.co/nuLTs513Ot,Tue Feb 14 20:21:59 +0000 2017,11349,,59006,False
Twitter for Android,831510532318429184,The real story here is why are there so many illegal leaks coming out of Washington? Will these leaks be happening as I deal on N.Korea etc?,Tue Feb 14 14:28:54 +0000 2017,26588,,111318,False
