subject_name,course_name,abs_course_url
Computer Science,"Graph Search, Shortest Paths, and Data Structures",https://www.classcentral.com/course/coursera-graph-search-shortest-paths-and-data-structures-7354
Computer Science,Moving to the Cloud,https://www.classcentral.com/course/coursera-moving-to-the-cloud-6607
Computer Science,Recommender Systems:  Evaluation and Metrics,https://www.classcentral.com/course/coursera-recommender-systems-evaluation-and-metrics-6918
Computer Science,Hacking and Patching,https://www.classcentral.com/course/coursera-hacking-and-patching-9529
Computer Science,Secure Networked System with Firewall and IDS,https://www.classcentral.com/course/coursera-secure-networked-system-with-firewall-and-ids-9536
Computer Science,Peer-to-Peer Protocols and Local Area Networks,https://www.classcentral.com/course/coursera-peer-to-peer-protocols-and-local-area-networks-9266
Computer Science,Internet Connection: How to Get Online?,https://www.classcentral.com/course/coursera-internet-connection-how-to-get-online-9158
Computer Science,Cryptography and Information Theory,https://www.classcentral.com/course/coursera-cryptography-and-information-theory-9587
Computer Science,API Security on Google Cloud's Apigee API Platform,https://www.classcentral.com/course/coursera-api-security-on-google-cloud-s-apigee-api-platform-10487
Computer Science,Technical Support Fundamentals,https://www.classcentral.com/course/coursera-technical-support-fundamentals-10220
Computer Science,Operating Systems and You: Becoming a Power User,https://www.classcentral.com/course/coursera-operating-systems-and-you-becoming-a-power-user-10221
Computer Science,"Pointers, Arrays, and Recursion",https://www.classcentral.com/course/coursera-pointers-arrays-and-recursion-10326
Computer Science,How Google does Machine Learning 日本語版,https://www.classcentral.com/course/coursera-how-google-does-machine-learning--12019
Computer Science,Production Machine Learning Systems,https://www.classcentral.com/course/coursera-production-machine-learning-systems-11978
Computer Science,Solving Algorithms for Discrete Optimization,https://www.classcentral.com/course/coursera-solving-algorithms-for-discrete-optimization-11219
Computer Science,Elastic Cloud Infrastructure: Containers and Services en Français,https://www.classcentral.com/course/coursera-elastic-cloud-infrastructure-containers-and-services-en-francais-12625
Computer Science,Building Conversational Experiences with Dialogflow,https://www.classcentral.com/course/coursera-building-conversational-experiences-with-dialogflow-12529
Computer Science,"Python Project: pillow, tesseract, and opencv",https://www.classcentral.com/course/coursera-python-project-pillow-tesseract-and-opencv-12554
Computer Science,Resolución de problemas por búsqueda,https://www.classcentral.com/course/coursera-resolucion-de-problemas-por-busqueda-12453
Computer Science,Elastic Cloud Infrastructure: Containers and Services em Português Brasileiro,https://www.classcentral.com/course/coursera-elastic-cloud-infrastructure-containers-and-services-em-portugues-brasileiro-13635
Computer Science,Essential Cloud Infrastructure: Core Services em Português Brasileiro,https://www.classcentral.com/course/coursera-essential-cloud-infrastructure-core-services-em-portugues-brasileiro-13636
